id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1759915,Clean & Cozy private room in Heart of Downtown,1721044,Carolyn & L,,Downtown,49.27811244245214,-123.1105226977137,Private room,64,1,232,2018-08-20,5.50,1,295
1764095,"Beach side Kits, Large 1 Bedroom",9176799,JoAnne,,Kitsilano,49.27060802141228,-123.15505127238092,Entire home/apt,171,30,67,2017-10-09,1.16,1,173
1768817,SoMa Suite - Main Street Cool,9041076,Lynn,,Riley Park,49.24419640144213,-123.10476135421463,Entire home/apt,100,30,60,2018-08-11,1.08,2,219
1773753,Modern Apartment in Mount Pleasant,1427066,Richard,,Mount Pleasant,49.26501836580527,-123.10011969446396,Entire home/apt,149,2,46,2018-08-19,0.78,1,0
1779139,Mt Pleasant Heritage Home Basement Ste,7266807,Ashley,,Mount Pleasant,49.26178124151284,-123.10483641255604,Entire home/apt,139,3,30,2018-09-05,1.31,2,327
1830733,Cozy Retreat - Strathcona,9575419,Elana & Claudio,,Downtown Eastside,49.27788464448679,-123.08587932952123,Entire home/apt,114,2,195,2018-06-30,3.34,3,260
1837488,AMAZING DOWNTOWN VIEW AND COSY STAY,9606143,Linda,,West End,49.28274283416292,-123.12820224081162,Entire home/apt,149,10,16,2018-07-16,0.33,1,0
1849632,QUIET Spacious Studio for Long-Term Single Tenancy,2930805,Jessica,,Sunset,49.228944822828545,-123.10503301569807,Entire home/apt,80,30,48,2018-08-20,0.83,2,125
1850984,Main Street loft w/ rooftop patio and view!,1007186,Bryn,,Mount Pleasant,49.26594738302368,-123.09609444272805,Entire home/apt,195,3,16,2018-02-26,0.28,1,0
1869071,156 One Bedroom in Downtown at The Electra,600607,Bruce,,Downtown,49.28093590448015,-123.12506735956495,Entire home/apt,89,32,1,2015-09-15,0.03,41,83
1898584,Tinseltown Apartment,9862171,John,,Downtown Eastside,49.280585105974936,-123.10506404854348,Entire home/apt,68,90,29,2017-09-29,0.50,2,250
1902380,Modern bedroom in Mt. Pleasant,9876979,Jamie,,Mount Pleasant,49.25756032821879,-123.09616792396952,Private room,225,2,38,2018-08-14,0.65,1,357
1909319,Kitsilano Home near the bay,9907792,Jordi,,Kitsilano,49.26708195597928,-123.17192176894538,Entire home/apt,125,30,5,2018-06-30,0.11,1,90
1936740,Luxury affordable monthly stay in 1 BR,5510458,Alison,,Shaughnessy,49.256512105470435,-123.14570427777866,Entire home/apt,70,30,0,,,1,160
1936916,Cozy Quiet 1BD for Single Longer Term Guest,2930805,Jessica,,Oakridge,49.22791430925239,-123.10701981247243,Entire home/apt,89,30,90,2018-08-19,1.57,2,126
1937255,Garden Suite off Commercial Drive!,9288157,Tamar,,Grandview-Woodland,49.27763805735053,-123.06641608687467,Entire home/apt,114,2,144,2018-09-05,2.52,2,266
1937296,Welwyn House,6707532,Jessy,,Kensington-Cedar Cottage,49.25499825934175,-123.06857971491316,Entire home/apt,160,2,3,2017-08-09,0.08,2,19
1945734,Modern Mount Pleasant Apartment CLOSE TO IT ALL!,2550511,Lisa-Kori,,Mount Pleasant,49.264693388634406,-123.09820163212832,Entire home/apt,139,3,9,2018-07-22,0.53,1,64
1950491,Enjoy our trendy neighbourhood close to transit,9452051,Sandra,,Riley Park,49.25359943384568,-123.11062121180578,Entire home/apt,130,30,28,2018-08-10,0.48,2,142
1956739,Water St. Sanctuary in Gastown,4292086,Anne,,Downtown Eastside,49.28406793885961,-123.10780909385468,Entire home/apt,189,90,101,2015-09-27,1.76,10,251
1961440,Yaletown 1 Br Condo Monthly Only,878531,Samy,,Downtown,49.27420193143836,-123.12706989266138,Entire home/apt,132,30,0,,,1,355
1962072,Charming Townhouse,3580181,Adele,,Mount Pleasant,49.259036913774786,-123.10842664499548,Entire home/apt,850,5,1,2015-12-26,0.03,1,0
1962443,1 Bedroom in Kits Point beach house,9553611,Colleen,,Kitsilano,49.27772990254015,-123.14733427114768,Private room,50,4,67,2018-09-01,1.68,2,31
1970354,Family friendly & centrally located,10174262,Tiffany & Michael,,Kerrisdale,49.22645008818007,-123.14123407799403,Entire home/apt,132,2,77,2018-08-21,1.42,1,338
1989974,A Room With A View!,1430872,Bashar,,West End,49.27875241926816,-123.138116145992,Entire home/apt,210,6,59,2018-08-07,1.05,1,56
1995592,"Charming ""Kitsilano Family Place""",10285482,Allan And Ellen,,Kitsilano,49.262226376577864,-123.1640566937693,Private room,105,2,183,2018-09-02,3.16,1,298
2003897,GREAT SUITE w GARDEN PATIO!  CENTRALLY LOCATED!!,10317553,Rita,,Fairview,49.26172320070583,-123.11698109882947,Entire home/apt,120,30,3,2014-02-03,0.05,1,193
2008047,Amazing View from a Modern Loft,7745079,Chad,,Strathcona,49.285115793711306,-123.0975897459769,Entire home/apt,160,3,53,2018-08-19,1.03,1,0
2011559,Sunny family-friendly house in Kits,9372276,Rica,,Kitsilano,49.25973958451087,-123.15906935615531,Entire home/apt,675,4,20,2018-08-30,0.75,1,15
2015886,Modern Yaletown Apt w/ Pool & H-Tub,4088165,Phyllis & Sebastien,,Downtown,49.27301324068622,-123.12557674744056,Entire home/apt,149,30,15,2016-01-05,0.26,1,0
2033597,Private queen bedroom semi-private bath near UBC.,10439026,Janice,,West Point Grey,49.25984081750818,-123.21265802234095,Private room,75,2,25,2018-08-28,3.10,1,45
2041582,"Kits Point, welcoming and bright",1728615,Francois,,Kitsilano,49.274683973412834,-123.14642144033836,Entire home/apt,350,3,138,2018-08-27,2.64,1,145
